pool,rname,reflen,numreads,covbases,breadth,meandepth,meanmapq,virus
250812-MBTA_Ha-NAS,NC_002207.1,1882,0,0,0.0,0.0,0.0,Influenza B
250812-MBTA_Ha-NAS,NC_002208.1,1841,0,0,0.0,0.0,0.0,Influenza B
250812-MBTA_Ha-NAS,NC_002209.1,1557,0,0,0.0,0.0,0.0,Influenza B
250812-MBTA_Ha-NAS,NC_002210.1,1191,0,0,0.0,0.0,0.0,Influenza B
250812-MBTA_Ha-NAS,NC_002211.1,1096,0,0,0.0,0.0,0.0,Influenza B
250812-MBTA_Ha-NAS,NC_006307.2,2365,0,0,0.0,0.0,0.0,Influenza C
250812-MBTA_Ha-NAS,NC_006308.2,2363,0,0,0.0,0.0,0.0,Influenza C
250812-MBTA_Ha-NAS,NC_006309.2,2183,0,0,0.0,0.0,0.0,Influenza C
250812-MBTA_Ha-NAS,NC_006310.2,2073,0,0,0.0,0.0,0.0,Influenza C
250812-MBTA_Ha-NAS,NC_006311.1,1807,0,0,0.0,0.0,0.0,Influenza C
250812-MBTA_Ha-NAS,NC_006312.2,1180,0,0,0.0,0.0,0.0,Influenza C
251217-BoDT-NAS-P1,NC_038235.1,15222,11634,14969,98.3379,2532.65,60.0,RSV-A
251217-BoDT-NAS-P1,NC_002645.1,27317,44,24652,90.2442,4.76099,60.0,HCoV-229E
251217-BoDT-NAS-P1,NC_038311.1,7137,2862,6839,95.8246,1464.97,55.3,Rhinovirus A
251217-BoDT-NAS-P1,NC_038312.1,7208,2302,6345,88.0272,1145.03,58.6,Rhinovirus B
251217-BoDT-NAS-P1,NC_009996.1,7099,13,2918,41.1044,4.25891,25.4,Rhinovirus C
251217-BoDT-NAS-P1,NC_045512.2,29903,0,0,0.0,0.0,0.0,SARS-CoV-2
251217-BoDT-NAS-P1,NC_001781.1,15225,0,0,0.0,0.0,0.0,RSV-B
251217-BoDT-NAS-P1,NC_006213.1,30741,0,0,0.0,0.0,0.0,HCoV-OC43
251217-BoDT-NAS-P1,NC_005831.2,27553,0,0,0.0,0.0,0.0,HCoV-NL63
251217-BoDT-NAS-P1,NC_006577.2,29926,0,0,0.0,0.0,0.0,HCoV-HKU1
251217-BoDT-NAS-P1,NC_039199.1,13350,0,0,0.0,0.0,0.0,hMPV
251217-BoDT-NAS-P1,NC_003461.1,15600,0,0,0.0,0.0,0.0,HPIV-1
251217-BoDT-NAS-P1,NC_003443.1,15646,0,0,0.0,0.0,0.0,HPIV-2
251217-BoDT-NAS-P1,NC_001796.2,15462,0,0,0.0,0.0,0.0,HPIV-3
251217-BoDT-NAS-P1,NC_021928.1,17052,0,0,0.0,0.0,0.0,HPIV-4
251217-BoDT-NAS-P1,NC_026431.1,982,0,0,0.0,0.0,0.0,Influenza A
251217-BoDT-NAS-P1,NC_026432.1,863,0,0,0.0,0.0,0.0,Influenza A
251217-BoDT-NAS-P1,NC_026433.1,1701,0,0,0.0,0.0,0.0,Influenza A
251217-BoDT-NAS-P1,NC_026434.1,1410,0,0,0.0,0.0,0.0,Influenza A
251217-BoDT-NAS-P1,NC_026435.1,2274,0,0,0.0,0.0,0.0,Influenza A
251217-BoDT-NAS-P1,NC_026436.1,1497,0,0,0.0,0.0,0.0,Influenza A
251217-BoDT-NAS-P1,NC_026437.1,2151,0,0,0.0,0.0,0.0,Influenza A
251217-BoDT-NAS-P1,NC_026438.1,2280,0,0,0.0,0.0,0.0,Influenza A
251217-BoDT-NAS-P1,NC_002204.1,2368,0,0,0.0,0.0,0.0,Influenza B
251217-BoDT-NAS-P1,NC_002205.1,2313,0,0,0.0,0.0,0.0,Influenza B
251217-BoDT-NAS-P1,NC_002206.1,2204,0,0,0.0,0.0,0.0,Influenza B
251217-BoDT-NAS-P1,NC_002207.1,1882,0,0,0.0,0.0,0.0,Influenza B
251217-BoDT-NAS-P1,NC_002208.1,1841,0,0,0.0,0.0,0.0,Influenza B
251217-BoDT-NAS-P1,NC_002209.1,1557,0,0,0.0,0.0,0.0,Influenza B
251217-BoDT-NAS-P1,NC_002210.1,1191,0,0,0.0,0.0,0.0,Influenza B
251217-BoDT-NAS-P1,NC_002211.1,1096,0,0,0.0,0.0,0.0,Influenza B
251217-BoDT-NAS-P1,NC_006307.2,2365,0,0,0.0,0.0,0.0,Influenza C
251217-BoDT-NAS-P1,NC_006308.2,2363,0,0,0.0,0.0,0.0,Influenza C
251217-BoDT-NAS-P1,NC_006309.2,2183,0,0,0.0,0.0,0.0,Influenza C
251217-BoDT-NAS-P1,NC_006310.2,2073,0,0,0.0,0.0,0.0,Influenza C
251217-BoDT-NAS-P1,NC_006311.1,1807,0,0,0.0,0.0,0.0,Influenza C
251217-BoDT-NAS-P1,NC_006312.2,1180,0,0,0.0,0.0,0.0,Influenza C
251219-MBTA_Ha-NAS-P1,NC_002645.1,27317,801,21037,77.0107,86.7901,60.0,HCoV-229E
251219-MBTA_Ha-NAS-P1,NC_006577.2,29926,1,2683,8.96545,0.0896545,60.0,HCoV-HKU1
251219-MBTA_Ha-NAS-P1,NC_038311.1,7137,45776,7115,99.6917,20670.9,53.3,Rhinovirus A
251219-MBTA_Ha-NAS-P1,NC_009996.1,7099,1,2438,34.3429,0.343429,17.0,Rhinovirus C
251219-MBTA_Ha-NAS-P1,NC_026435.1,2274,1,815,35.8399,0.358399,60.0,Influenza A
251219-MBTA_Ha-NAS-P1,NC_045512.2,29903,0,0,0.0,0.0,0.0,SARS-CoV-2
251219-MBTA_Ha-NAS-P1,NC_038235.1,15222,0,0,0.0,0.0,0.0,RSV-A
251219-MBTA_Ha-NAS-P1,NC_001781.1,15225,0,0,0.0,0.0,0.0,RSV-B
251219-MBTA_Ha-NAS-P1,NC_006213.1,30741,0,0,0.0,0.0,0.0,HCoV-OC43
251219-MBTA_Ha-NAS-P1,NC_005831.2,27553,0,0,0.0,0.0,0.0,HCoV-NL63
251219-MBTA_Ha-NAS-P1,NC_039199.1,13350,0,0,0.0,0.0,0.0,hMPV
251219-MBTA_Ha-NAS-P1,NC_003461.1,15600,0,0,0.0,0.0,0.0,HPIV-1
251219-MBTA_Ha-NAS-P1,NC_003443.1,15646,0,0,0.0,0.0,0.0,HPIV-2
251219-MBTA_Ha-NAS-P1,NC_001796.2,15462,0,0,0.0,0.0,0.0,HPIV-3
251219-MBTA_Ha-NAS-P1,NC_021928.1,17052,0,0,0.0,0.0,0.0,HPIV-4
251219-MBTA_Ha-NAS-P1,NC_038312.1,7208,0,0,0.0,0.0,0.0,Rhinovirus B
251219-MBTA_Ha-NAS-P1,NC_026431.1,982,0,0,0.0,0.0,0.0,Influenza A
251219-MBTA_Ha-NAS-P1,NC_026432.1,863,0,0,0.0,0.0,0.0,Influenza A
251219-MBTA_Ha-NAS-P1,NC_026433.1,1701,0,0,0.0,0.0,0.0,Influenza A
251219-MBTA_Ha-NAS-P1,NC_026434.1,1410,0,0,0.0,0.0,0.0,Influenza A
251219-MBTA_Ha-NAS-P1,NC_026436.1,1497,0,0,0.0,0.0,0.0,Influenza A
251219-MBTA_Ha-NAS-P1,NC_026437.1,2151,0,0,0.0,0.0,0.0,Influenza A
251219-MBTA_Ha-NAS-P1,NC_026438.1,2280,0,0,0.0,0.0,0.0,Influenza A
251219-MBTA_Ha-NAS-P1,NC_002204.1,2368,0,0,0.0,0.0,0.0,Influenza B
251219-MBTA_Ha-NAS-P1,NC_002205.1,2313,0,0,0.0,0.0,0.0,Influenza B
251219-MBTA_Ha-NAS-P1,NC_002206.1,2204,0,0,0.0,0.0,0.0,Influenza B
251219-MBTA_Ha-NAS-P1,NC_002207.1,1882,0,0,0.0,0.0,0.0,Influenza B
251219-MBTA_Ha-NAS-P1,NC_002208.1,1841,0,0,0.0,0.0,0.0,Influenza B
251219-MBTA_Ha-NAS-P1,NC_002209.1,1557,0,0,0.0,0.0,0.0,Influenza B
251219-MBTA_Ha-NAS-P1,NC_002210.1,1191,0,0,0.0,0.0,0.0,Influenza B
251219-MBTA_Ha-NAS-P1,NC_002211.1,1096,0,0,0.0,0.0,0.0,Influenza B
251219-MBTA_Ha-NAS-P1,NC_006307.2,2365,0,0,0.0,0.0,0.0,Influenza C
251219-MBTA_Ha-NAS-P1,NC_006308.2,2363,0,0,0.0,0.0,0.0,Influenza C
251219-MBTA_Ha-NAS-P1,NC_006309.2,2183,0,0,0.0,0.0,0.0,Influenza C
251219-MBTA_Ha-NAS-P1,NC_006310.2,2073,0,0,0.0,0.0,0.0,Influenza C
251219-MBTA_Ha-NAS-P1,NC_006311.1,1807,0,0,0.0,0.0,0.0,Influenza C
251219-MBTA_Ha-NAS-P1,NC_006312.2,1180,0,0,0.0,0.0,0.0,Influenza C
260109-BoDT-NAS-P1,NC_045512.2,29903,771,20548,68.7155,60.1801,60.0,SARS-CoV-2
260109-BoDT-NAS-P1,NC_002645.1,27317,1,385,1.40938,0.0140938,60.0,HCoV-229E
260109-BoDT-NAS-P1,NC_038235.1,15222,0,0,0.0,0.0,0.0,RSV-A
260109-BoDT-NAS-P1,NC_001781.1,15225,0,0,0.0,0.0,0.0,RSV-B
260109-BoDT-NAS-P1,NC_006213.1,30741,0,0,0.0,0.0,0.0,HCoV-OC43
260109-BoDT-NAS-P1,NC_005831.2,27553,0,0,0.0,0.0,0.0,HCoV-NL63
260109-BoDT-NAS-P1,NC_006577.2,29926,0,0,0.0,0.0,0.0,HCoV-HKU1
260109-BoDT-NAS-P1,NC_039199.1,13350,0,0,0.0,0.0,0.0,hMPV
260109-BoDT-NAS-P1,NC_003461.1,15600,0,0,0.0,0.0,0.0,HPIV-1
260109-BoDT-NAS-P1,NC_003443.1,15646,0,0,0.0,0.0,0.0,HPIV-2
260109-BoDT-NAS-P1,NC_001796.2,15462,0,0,0.0,0.0,0.0,HPIV-3
260109-BoDT-NAS-P1,NC_021928.1,17052,0,0,0.0,0.0,0.0,HPIV-4
260109-BoDT-NAS-P1,NC_038311.1,7137,0,0,0.0,0.0,0.0,Rhinovirus A
260109-BoDT-NAS-P1,NC_038312.1,7208,0,0,0.0,0.0,0.0,Rhinovirus B
260109-BoDT-NAS-P1,NC_009996.1,7099,0,0,0.0,0.0,0.0,Rhinovirus C
260109-BoDT-NAS-P1,NC_026431.1,982,0,0,0.0,0.0,0.0,Influenza A
260109-BoDT-NAS-P1,NC_026432.1,863,0,0,0.0,0.0,0.0,Influenza A
260109-BoDT-NAS-P1,NC_026433.1,1701,0,0,0.0,0.0,0.0,Influenza A
260109-BoDT-NAS-P1,NC_026434.1,1410,0,0,0.0,0.0,0.0,Influenza A
260109-BoDT-NAS-P1,NC_026435.1,2274,0,0,0.0,0.0,0.0,Influenza A
260109-BoDT-NAS-P1,NC_026436.1,1497,0,0,0.0,0.0,0.0,Influenza A
260109-BoDT-NAS-P1,NC_026437.1,2151,0,0,0.0,0.0,0.0,Influenza A
260109-BoDT-NAS-P1,NC_026438.1,2280,0,0,0.0,0.0,0.0,Influenza A
260109-BoDT-NAS-P1,NC_002204.1,2368,0,0,0.0,0.0,0.0,Influenza B
260109-BoDT-NAS-P1,NC_002205.1,2313,0,0,0.0,0.0,0.0,Influenza B
260109-BoDT-NAS-P1,NC_002206.1,2204,0,0,0.0,0.0,0.0,Influenza B
260109-BoDT-NAS-P1,NC_002207.1,1882,0,0,0.0,0.0,0.0,Influenza B
260109-BoDT-NAS-P1,NC_002208.1,1841,0,0,0.0,0.0,0.0,Influenza B
260109-BoDT-NAS-P1,NC_002209.1,1557,0,0,0.0,0.0,0.0,Influenza B
260109-BoDT-NAS-P1,NC_002210.1,1191,0,0,0.0,0.0,0.0,Influenza B
260109-BoDT-NAS-P1,NC_002211.1,1096,0,0,0.0,0.0,0.0,Influenza B
260109-BoDT-NAS-P1,NC_006307.2,2365,0,0,0.0,0.0,0.0,Influenza C
260109-BoDT-NAS-P1,NC_006308.2,2363,0,0,0.0,0.0,0.0,Influenza C
260109-BoDT-NAS-P1,NC_006309.2,2183,0,0,0.0,0.0,0.0,Influenza C
260109-BoDT-NAS-P1,NC_006310.2,2073,0,0,0.0,0.0,0.0,Influenza C
260109-BoDT-NAS-P1,NC_006311.1,1807,0,0,0.0,0.0,0.0,Influenza C
260109-BoDT-NAS-P1,NC_006312.2,1180,0,0,0.0,0.0,0.0,Influenza C
260115-Copl-NAS-P1,NC_002645.1,27317,37,26763,97.972,3.55852,60.0,HCoV-229E
260115-Copl-NAS-P1,NC_005831.2,27553,1,2286,8.29674,0.0829674,60.0,HCoV-NL63
260115-Copl-NAS-P1,NC_006577.2,29926,6664,28802,96.2441,540.06,60.0,HCoV-HKU1
260115-Copl-NAS-P1,NC_003443.1,15646,224,5578,35.6513,35.7523,60.0,HPIV-2
260115-Copl-NAS-P1,NC_021928.1,17052,2331,16066,94.2177,333.18,59.9,HPIV-4
260115-Copl-NAS-P1,NC_038311.1,7137,92,4579,64.1586,10.8316,4.09,Rhinovirus A
260115-Copl-NAS-P1,NC_009996.1,7099,29823,6807,95.8867,9865.61,16.4,Rhinovirus C
260115-Copl-NAS-P1,NC_026435.1,2274,271,2032,89.358,187.846,60.0,Influenza A
260115-Copl-NAS-P1,NC_026437.1,2151,14902,2143,99.6281,11214.6,59.7,Influenza A
260115-Copl-NAS-P1,NC_026438.1,2280,383,2080,91.2281,298.884,58.3,Influenza A
260115-Copl-NAS-P1,NC_045512.2,29903,0,0,0.0,0.0,0.0,SARS-CoV-2
260115-Copl-NAS-P1,NC_038235.1,15222,0,0,0.0,0.0,0.0,RSV-A
260115-Copl-NAS-P1,NC_001781.1,15225,0,0,0.0,0.0,0.0,RSV-B
260115-Copl-NAS-P1,NC_006213.1,30741,0,0,0.0,0.0,0.0,HCoV-OC43
260115-Copl-NAS-P1,NC_039199.1,13350,0,0,0.0,0.0,0.0,hMPV
260115-Copl-NAS-P1,NC_003461.1,15600,0,0,0.0,0.0,0.0,HPIV-1
260115-Copl-NAS-P1,NC_001796.2,15462,0,0,0.0,0.0,0.0,HPIV-3
260115-Copl-NAS-P1,NC_038312.1,7208,0,0,0.0,0.0,0.0,Rhinovirus B
260115-Copl-NAS-P1,NC_026431.1,982,0,0,0.0,0.0,0.0,Influenza A
260115-Copl-NAS-P1,NC_026432.1,863,0,0,0.0,0.0,0.0,Influenza A
260115-Copl-NAS-P1,NC_026433.1,1701,0,0,0.0,0.0,0.0,Influenza A
260115-Copl-NAS-P1,NC_026434.1,1410,0,0,0.0,0.0,0.0,Influenza A
260115-Copl-NAS-P1,NC_026436.1,1497,0,0,0.0,0.0,0.0,Influenza A
260115-Copl-NAS-P1,NC_002204.1,2368,0,0,0.0,0.0,0.0,Influenza B
260115-Copl-NAS-P1,NC_002205.1,2313,0,0,0.0,0.0,0.0,Influenza B
260115-Copl-NAS-P1,NC_002206.1,2204,0,0,0.0,0.0,0.0,Influenza B
260115-Copl-NAS-P1,NC_002207.1,1882,0,0,0.0,0.0,0.0,Influenza B
260115-Copl-NAS-P1,NC_002208.1,1841,0,0,0.0,0.0,0.0,Influenza B
260115-Copl-NAS-P1,NC_002209.1,1557,0,0,0.0,0.0,0.0,Influenza B
260115-Copl-NAS-P1,NC_002210.1,1191,0,0,0.0,0.0,0.0,Influenza B
260115-Copl-NAS-P1,NC_002211.1,1096,0,0,0.0,0.0,0.0,Influenza B
260115-Copl-NAS-P1,NC_006307.2,2365,0,0,0.0,0.0,0.0,Influenza C
260115-Copl-NAS-P1,NC_006308.2,2363,0,0,0.0,0.0,0.0,Influenza C
260115-Copl-NAS-P1,NC_006309.2,2183,0,0,0.0,0.0,0.0,Influenza C
260115-Copl-NAS-P1,NC_006310.2,2073,0,0,0.0,0.0,0.0,Influenza C
260115-Copl-NAS-P1,NC_006311.1,1807,0,0,0.0,0.0,0.0,Influenza C
260115-Copl-NAS-P1,NC_006312.2,1180,0,0,0.0,0.0,0.0,Influenza C
260304-BC-NAS-P1,NC_045512.2,29903,42818,29758,99.5151,4673.44,60.0,SARS-CoV-2
260304-BC-NAS-P1,NC_001781.1,15225,20473,14993,98.4762,3866.73,59.9,RSV-B
260304-BC-NAS-P1,NC_002645.1,27317,55,25516,93.407,5.41443,59.7,HCoV-229E
260304-BC-NAS-P1,NC_005831.2,27553,1133,17417,63.2127,90.8256,60.0,HCoV-NL63
260304-BC-NAS-P1,NC_006577.2,29926,3611,25025,83.6229,332.382,60.0,HCoV-HKU1
260304-BC-NAS-P1,NC_038311.1,7137,64,642,8.99538,3.88006,25.1,Rhinovirus A
260304-BC-NAS-P1,NC_009996.1,7099,1452,6330,89.1675,741.448,59.2,Rhinovirus C
260304-BC-NAS-P1,NC_026437.1,2151,1,1414,65.7369,0.657369,60.0,Influenza A
260304-BC-NAS-P1,NC_038235.1,15222,0,0,0.0,0.0,0.0,RSV-A
260304-BC-NAS-P1,NC_006213.1,30741,0,0,0.0,0.0,0.0,HCoV-OC43
260304-BC-NAS-P1,NC_039199.1,13350,0,0,0.0,0.0,0.0,hMPV
260304-BC-NAS-P1,NC_003461.1,15600,0,0,0.0,0.0,0.0,HPIV-1
260304-BC-NAS-P1,NC_003443.1,15646,0,0,0.0,0.0,0.0,HPIV-2
260304-BC-NAS-P1,NC_001796.2,15462,0,0,0.0,0.0,0.0,HPIV-3
260304-BC-NAS-P1,NC_021928.1,17052,0,0,0.0,0.0,0.0,HPIV-4
260304-BC-NAS-P1,NC_038312.1,7208,0,0,0.0,0.0,0.0,Rhinovirus B
260304-BC-NAS-P1,NC_026431.1,982,0,0,0.0,0.0,0.0,Influenza A
260304-BC-NAS-P1,NC_026432.1,863,0,0,0.0,0.0,0.0,Influenza A
260304-BC-NAS-P1,NC_026433.1,1701,0,0,0.0,0.0,0.0,Influenza A
260304-BC-NAS-P1,NC_026434.1,1410,0,0,0.0,0.0,0.0,Influenza A
260304-BC-NAS-P1,NC_026435.1,2274,0,0,0.0,0.0,0.0,Influenza A
260304-BC-NAS-P1,NC_026436.1,1497,0,0,0.0,0.0,0.0,Influenza A
260304-BC-NAS-P1,NC_026438.1,2280,0,0,0.0,0.0,0.0,Influenza A
260304-BC-NAS-P1,NC_002204.1,2368,0,0,0.0,0.0,0.0,Influenza B
260304-BC-NAS-P1,NC_002205.1,2313,0,0,0.0,0.0,0.0,Influenza B
260304-BC-NAS-P1,NC_002206.1,2204,0,0,0.0,0.0,0.0,Influenza B
260304-BC-NAS-P1,NC_002207.1,1882,0,0,0.0,0.0,0.0,Influenza B
260304-BC-NAS-P1,NC_002208.1,1841,0,0,0.0,0.0,0.0,Influenza B
260304-BC-NAS-P1,NC_002209.1,1557,0,0,0.0,0.0,0.0,Influenza B
260304-BC-NAS-P1,NC_002210.1,1191,0,0,0.0,0.0,0.0,Influenza B
260304-BC-NAS-P1,NC_002211.1,1096,0,0,0.0,0.0,0.0,Influenza B
260304-BC-NAS-P1,NC_006307.2,2365,0,0,0.0,0.0,0.0,Influenza C
260304-BC-NAS-P1,NC_006308.2,2363,0,0,0.0,0.0,0.0,Influenza C
260304-BC-NAS-P1,NC_006309.2,2183,0,0,0.0,0.0,0.0,Influenza C
260304-BC-NAS-P1,NC_006310.2,2073,0,0,0.0,0.0,0.0,Influenza C
260304-BC-NAS-P1,NC_006311.1,1807,0,0,0.0,0.0,0.0,Influenza C
260304-BC-NAS-P1,NC_006312.2,1180,0,0,0.0,0.0,0.0,Influenza C
260313-MBTA_Ha-NAS-P1,NC_038235.1,15222,1,5012,32.926,0.32926,60.0,RSV-A
260313-MBTA_Ha-NAS-P1,NC_002645.1,27317,43252,26871,98.3673,4944.73,60.0,HCoV-229E
260313-MBTA_Ha-NAS-P1,NC_005831.2,27553,19,16611,60.2874,1.7626,60.0,HCoV-NL63
260313-MBTA_Ha-NAS-P1,NC_006577.2,29926,48573,29232,97.6809,4396.72,60.0,HCoV-HKU1
260313-MBTA_Ha-NAS-P1,NC_038311.1,7137,36,6356,89.057,2.75102,6.61,Rhinovirus A
260313-MBTA_Ha-NAS-P1,NC_045512.2,29903,0,0,0.0,0.0,0.0,SARS-CoV-2
260313-MBTA_Ha-NAS-P1,NC_001781.1,15225,0,0,0.0,0.0,0.0,RSV-B
260313-MBTA_Ha-NAS-P1,NC_006213.1,30741,0,0,0.0,0.0,0.0,HCoV-OC43
260313-MBTA_Ha-NAS-P1,NC_039199.1,13350,0,0,0.0,0.0,0.0,hMPV
260313-MBTA_Ha-NAS-P1,NC_003461.1,15600,0,0,0.0,0.0,0.0,HPIV-1
260313-MBTA_Ha-NAS-P1,NC_003443.1,15646,0,0,0.0,0.0,0.0,HPIV-2
260313-MBTA_Ha-NAS-P1,NC_001796.2,15462,0,0,0.0,0.0,0.0,HPIV-3
260313-MBTA_Ha-NAS-P1,NC_021928.1,17052,0,0,0.0,0.0,0.0,HPIV-4
260313-MBTA_Ha-NAS-P1,NC_038312.1,7208,0,0,0.0,0.0,0.0,Rhinovirus B
260313-MBTA_Ha-NAS-P1,NC_009996.1,7099,0,0,0.0,0.0,0.0,Rhinovirus C
260313-MBTA_Ha-NAS-P1,NC_026431.1,982,0,0,0.0,0.0,0.0,Influenza A
260313-MBTA_Ha-NAS-P1,NC_026432.1,863,0,0,0.0,0.0,0.0,Influenza A
260313-MBTA_Ha-NAS-P1,NC_026433.1,1701,0,0,0.0,0.0,0.0,Influenza A
260313-MBTA_Ha-NAS-P1,NC_026434.1,1410,0,0,0.0,0.0,0.0,Influenza A
260313-MBTA_Ha-NAS-P1,NC_026435.1,2274,0,0,0.0,0.0,0.0,Influenza A
260313-MBTA_Ha-NAS-P1,NC_026436.1,1497,0,0,0.0,0.0,0.0,Influenza A
260313-MBTA_Ha-NAS-P1,NC_026437.1,2151,0,0,0.0,0.0,0.0,Influenza A
